trial_id,prompt_id,prompt_family,prompt_variant,backend,active_object_context,expected_outcome_type,expected_intent,expected_object_name,expected_target_label,expected_clarification,predicted_outcome_type,predicted_intent,predicted_object_name,predicted_target_label,predicted_clarification,exact_match,object_match,intent_match,target_match,clarification_match,error
0000_clarify_hammer_family,clarify_hammer_family,clarification_or_ambiguity,hammer_family_only,openai,claw_hammer,clarification,,,,True,clarification,,,,True,True,True,True,True,True,
0001_clarify_screwdriver_family,clarify_screwdriver_family,clarification_or_ambiguity,screwdriver_family_only,openai,long_screwdriver,clarification,,,,True,clarification,,,,True,True,True,True,True,True,
0002_switch_specific_object,switch_specific_object,explicit_object_switching,switch_short_screwdriver,openai,claw_hammer,command,switch_active_object,short_screwdriver,,False,command,switch_active_object,short_screwdriver,,False,True,True,True,True,True,
0003_switch_specific_object_paraphrase,switch_specific_object_paraphrase,paraphrase_robustness,switch_short_screwdriver_paraphrase,openai,claw_hammer,command,switch_active_object,short_screwdriver,,False,command,switch_active_object,short_screwdriver,,False,True,True,True,True,True,
0004_generic_hammer_default,generic_hammer_default,default_family_selection,generic_hammer_right_side,openai,mallet_hammer,command,execute_lie_trajectory,claw_hammer,right_side_of_table,False,command,execute_lie_trajectory,claw_hammer,custom_xy,False,False,True,True,False,True,
0005_specific_hammer_target_a,specific_hammer_target_a,target_grounding,named_hammer_target_a,openai,claw_hammer,command,execute_lie_trajectory,mallet_hammer,strike_point_a,False,command,execute_lie_trajectory,mallet_hammer,strike_point_a,False,True,True,True,True,True,
0006_specific_twist_default_target,specific_twist_default_target,default_family_selection,specific_screwdriver_default_target,openai,claw_hammer,command,execute_lie_trajectory,long_screwdriver,unspecified_target,False,command,execute_lie_trajectory,long_screwdriver,strike_point_a,False,False,True,True,False,True,
0007_predefined_keep_current,predefined_keep_current,lifecycle_and_predefined_commands,predefined_keep_current,openai,short_screwdriver,command,execute_predefined_swing,short_screwdriver,predefined_motion,False,command,execute_predefined_swing,short_screwdriver,predefined_motion,False,True,True,True,True,True,
0008_predefined_explicit_object,predefined_explicit_object,lifecycle_and_predefined_commands,predefined_explicit_object,openai,claw_hammer,command,execute_predefined_swing,cuboid_hammer_v014,predefined_motion,False,command,execute_predefined_swing,cuboid_hammer_v014,predefined_motion,False,True,True,True,True,True,
0009_semantic_pose_request,semantic_pose_request,semantic_pose_edits,upright_pose_edit,openai,long_screwdriver,command,move_tool,long_screwdriver,upright,False,command,move_tool,long_screwdriver,upright,False,True,True,True,True,True,
0010_grasp_tool,grasp_tool,lifecycle_and_predefined_commands,grasp_active_tool,openai,claw_hammer,command,grasp_tool,claw_hammer,,False,command,grasp_tool,claw_hammer,,False,True,True,True,True,True,
0011_release_tool,release_tool,lifecycle_and_predefined_commands,release_active_tool,openai,claw_hammer,command,release_tool,claw_hammer,,False,command,release_tool,claw_hammer,,False,True,True,True,True,True,
0012_generate_task_goals,generate_task_goals,lifecycle_and_predefined_commands,set_task_goals,openai,claw_hammer,goals,set_goals,claw_hammer,swing_down,False,command,execute_lie_trajectory,claw_hammer,strike_point_a,False,False,True,False,False,True,
0013_target_grounding_custom_left,target_grounding_custom_left,target_grounding,left_side_table,openai,claw_hammer,command,execute_lie_trajectory,claw_hammer,left_side_of_table,False,command,execute_lie_trajectory,claw_hammer,custom_xy,False,False,True,True,False,True,
0014_semantic_pose_request_flat,semantic_pose_request_flat,semantic_pose_edits,flat_pose_edit,openai,long_screwdriver,command,move_tool,long_screwdriver,flat,False,command,move_tool,long_screwdriver,flat,False,True,True,True,True,True,
0015_unsupported_out_of_scope_real_robot,unsupported_out_of_scope_real_robot,unsupported_or_out_of_scope,real_robot_request,openai,claw_hammer,text,,,,False,text,,,,False,True,True,True,True,True,
0016_unsupported_out_of_scope_explanation,unsupported_out_of_scope_explanation,unsupported_or_out_of_scope,explain_training_history,openai,claw_hammer,text,,,,False,text,,,,False,True,True,True,True,True,
