trial_id,prompt_id,prompt_family,prompt_variant,backend,active_object_context,expected_outcome_type,expected_intent,expected_object_name,expected_target_label,expected_clarification,predicted_outcome_type,predicted_intent,predicted_object_name,predicted_target_label,predicted_clarification,exact_match,object_match,intent_match,target_match,clarification_match,error
0000_clarify_hammer_family,clarify_hammer_family,clarification_or_ambiguity,hammer_family_only,openai,claw_hammer,clarification,,,,True,clarification,,,,True,True,True,True,True,True,
0001_clarify_screwdriver_family,clarify_screwdriver_family,clarification_or_ambiguity,screwdriver_family_only,openai,long_screwdriver,clarification,,,,True,clarification,,,,True,True,True,True,True,True,
0002_clarify_generic_hammer_swap,clarify_generic_hammer_swap,clarification_or_ambiguity,generic_hammer_swap,openai,long_screwdriver,clarification,,,,True,clarification,,,,True,True,True,True,True,True,
0003_clarify_generic_screwdriver_swap,clarify_generic_screwdriver_swap,clarification_or_ambiguity,generic_screwdriver_swap,openai,claw_hammer,clarification,,,,True,clarification,,,,True,True,True,True,True,True,
0004_clarify_other_hammer,clarify_other_hammer,clarification_or_ambiguity,other_hammer_instance,openai,mallet_hammer,clarification,,,,True,clarification,,,,True,True,True,True,True,True,
0005_clarify_conflicting_tool_family,clarify_conflicting_tool_family,clarification_or_ambiguity,conflicting_tool_family,openai,claw_hammer,clarification,,,,True,clarification,,,,True,True,True,True,True,True,
0006_switch_specific_object,switch_specific_object,explicit_object_switching,switch_short_screwdriver,openai,claw_hammer,command,switch_active_object,short_screwdriver,,False,command,switch_active_object,short_screwdriver,,False,True,True,True,True,True,
0007_switch_long_screwdriver,switch_long_screwdriver,explicit_object_switching,switch_long_screwdriver,openai,claw_hammer,command,switch_active_object,long_screwdriver,,False,command,switch_active_object,long_screwdriver,,False,True,True,True,True,True,
0008_switch_mallet_hammer,switch_mallet_hammer,explicit_object_switching,switch_mallet_hammer,openai,short_screwdriver,command,switch_active_object,mallet_hammer,,False,command,switch_active_object,mallet_hammer,,False,True,True,True,True,True,
0009_switch_cuboid_hammer,switch_cuboid_hammer,explicit_object_switching,switch_cuboid_hammer,openai,claw_hammer,command,switch_active_object,cuboid_hammer_v014,,False,command,switch_active_object,cuboid_hammer_v014,,False,True,True,True,True,True,
0010_switch_cylinder_screwdriver,switch_cylinder_screwdriver,explicit_object_switching,switch_cylinder_screwdriver,openai,long_screwdriver,command,switch_active_object,cylinder_screwdriver_v3009,,False,command,switch_active_object,cylinder_screwdriver_v3009,,False,True,True,True,True,True,
0011_switch_specific_object_paraphrase,switch_specific_object_paraphrase,paraphrase_robustness,switch_short_screwdriver_paraphrase,openai,claw_hammer,command,switch_active_object,short_screwdriver,,False,command,switch_active_object,short_screwdriver,,False,True,True,True,True,True,
0012_switch_mallet_paraphrase,switch_mallet_paraphrase,paraphrase_robustness,switch_mallet_paraphrase,openai,claw_hammer,command,switch_active_object,mallet_hammer,,False,command,switch_active_object,mallet_hammer,,False,True,True,True,True,True,
0013_strike_target_a_paraphrase,strike_target_a_paraphrase,paraphrase_robustness,strike_target_a_paraphrase,openai,mallet_hammer,command,execute_lie_trajectory,claw_hammer,strike_point_a,False,command,execute_lie_trajectory,claw_hammer,strike_point_a,False,True,True,True,True,True,
0014_twist_target_a_paraphrase,twist_target_a_paraphrase,paraphrase_robustness,twist_target_a_paraphrase,openai,long_screwdriver,command,execute_lie_trajectory,short_screwdriver,strike_point_a,False,command,execute_lie_trajectory,short_screwdriver,strike_point_a,False,True,True,True,True,True,
0015_predefined_paraphrase,predefined_paraphrase,paraphrase_robustness,predefined_motion_paraphrase,openai,short_screwdriver,command,execute_predefined_swing,short_screwdriver,predefined_motion,False,command,execute_predefined_swing,short_screwdriver,predefined_motion,False,True,True,True,True,True,
0016_grasp_paraphrase,grasp_paraphrase,paraphrase_robustness,grasp_tool_paraphrase,openai,claw_hammer,command,grasp_tool,claw_hammer,,False,command,grasp_tool,claw_hammer,,False,True,True,True,True,True,
0017_generic_hammer_default,generic_hammer_default,default_family_selection,generic_hammer_right_side,openai,mallet_hammer,command,execute_lie_trajectory,claw_hammer,right_side_of_table,False,command,execute_lie_trajectory,claw_hammer,custom_xy,False,False,True,True,False,True,
